number of participants,recognition rate,training/update time,testing/recall time
2,3.5,213.0,79.0
3,2.3333333333333335,152.0,62.0
4,2.0,106.0,63.0
5,1.8,107.0,63.0
6,1.6666666666666667,105.0,64.0
7,2.0,108.0,64.0
8,1.75,107.0,64.0
9,1.6666666666666667,108.0,65.0
10,1.5,107.0,65.0
11,1.5454545454545454,110.0,66.0
12,1.75,105.0,66.0
13,1.7692307692307692,106.0,66.0
14,1.7857142857142858,107.0,67.0
15,1.8,111.0,68.0
16,1.75,108.0,68.0
17,1.7647058823529411,107.0,68.0
18,1.7222222222222223,107.0,69.0
19,1.894736842105263,104.0,69.0
20,1.85,104.0,70.0
21,1.8571428571428572,107.0,70.0
22,1.8636363636363635,108.0,70.0
23,1.8695652173913044,107.0,71.0
24,1.7916666666666667,108.0,71.0
25,1.84,107.0,72.0
26,1.7692307692307692,104.0,72.0
27,1.7407407407407407,106.0,72.0
28,1.8571428571428572,108.0,73.0
29,1.8275862068965518,106.0,73.0
30,1.7666666666666666,107.0,74.0
31,1.7096774193548387,108.0,74.0
32,1.65625,108.0,75.0
33,1.606060606060606,109.0,75.0
34,1.5588235294117647,109.0,76.0
35,1.5142857142857142,107.0,76.0
36,1.5,109.0,77.0
37,1.4594594594594594,107.0,77.0
38,1.4210526315789473,109.0,78.0
39,1.3846153846153846,106.0,78.0
40,1.35,108.0,78.0
41,1.3170731707317074,107.0,79.0
42,1.3095238095238095,105.0,79.0
43,1.372093023255814,107.0,80.0
44,1.3409090909090908,110.0,80.0
45,1.3555555555555556,106.0,81.0
46,1.3478260869565217,110.0,81.0
47,1.3191489361702127,107.0,82.0
48,1.2916666666666667,110.0,82.0
49,1.2653061224489797,106.0,83.0
50,1.26,107.0,83.0
51,1.2941176470588236,106.0,84.0
52,1.3269230769230769,105.0,84.0
53,1.320754716981132,105.0,84.0
54,1.2962962962962963,109.0,85.0
55,1.3636363636363635,107.0,85.0
56,1.3392857142857142,110.0,86.0
57,1.3157894736842106,105.0,86.0
58,1.293103448275862,106.0,87.0
59,1.271186440677966,107.0,87.0
60,1.25,107.0,88.0
61,1.2295081967213115,107.0,88.0
62,1.2096774193548387,106.0,89.0
63,1.1904761904761905,107.0,89.0
64,1.171875,106.0,89.0
65,1.1538461538461537,109.0,90.0
66,1.1363636363636365,107.0,90.0
67,1.1194029850746268,106.0,91.0
68,1.1029411764705883,107.0,92.0
69,1.0869565217391304,107.0,92.0
70,1.0714285714285714,108.0,92.0
71,1.056338028169014,106.0,93.0
72,1.0416666666666667,115.0,95.0
73,1.0273972602739727,111.0,95.0
74,1.0135135135135136,106.0,94.0
75,1.0,108.0,95.0
76,0.9868421052631579,108.0,96.0
77,0.974025974025974,106.0,98.0
78,0.9615384615384616,116.0,98.0
79,0.9493670886075949,109.0,98.0
80,0.9375,110.0,97.0
81,0.9259259259259259,108.0,99.0
82,0.9634146341463414,118.0,100.0
83,0.9518072289156626,109.0,102.0
84,0.9642857142857143,106.0,102.0
85,0.9764705882352941,109.0,103.0
86,0.9651162790697675,112.0,104.0
87,0.9540229885057471,111.0,102.0
88,0.9431818181818182,118.0,102.0
89,0.9325842696629213,108.0,101.0
90,0.9222222222222223,108.0,101.0
91,0.9120879120879121,105.0,101.0
92,0.9021739130434783,105.0,102.0
93,0.8924731182795699,108.0,103.0
94,0.8829787234042553,106.0,103.0
95,0.8736842105263158,107.0,104.0
96,0.8645833333333334,107.0,104.0
97,0.8556701030927835,109.0,104.0
98,0.8469387755102041,106.0,105.0
99,0.8383838383838383,106.0,105.0
100,0.83,104.0,106.0
101,0.8217821782178217,108.0,108.0
102,0.8137254901960784,107.0,109.0
103,0.8058252427184466,108.0,107.0
104,0.7980769230769231,108.0,108.0
105,0.8095238095238095,107.0,108.0
106,0.8018867924528302,105.0,110.0
107,0.794392523364486,110.0,109.0
108,0.7870370370370371,106.0,109.0
109,0.7798165137614679,110.0,110.0
110,0.7727272727272727,108.0,111.0
111,0.7657657657657657,105.0,110.0
112,0.7589285714285714,108.0,111.0
113,0.7522123893805309,105.0,112.0
114,0.0,0.0,0.0
